Player,Score Vector,Predicted Price,Role,Foreigner
Carlos Brathwaite,321,5,Bowler,1
Rajat Bhatia,204,5,Bowler,0
Adam Milne,171,5,Bowler,1
Jagadeesha Suchith,229,5,Bowler,0
Ben Laughlin,217,5,Bowler,1
Keemo Paul,225,5,Bowler,1
Sheldon Cottrell,150,5,Bowler,1
Tabraiz Shamsi,71,5,Bowler,1
Pradeep Sangwan,200,5,Bowler,1
Mohsin Khan,372,5,Bowler,0
Billy Stanlake,175,5,Bowler,0
Ish Sodhi,229,5,Bowler,1
KC Cariappa,175,5,Bowler,0
James Faulkner,196,5,Bowler,1
Morne Morkel,250,5,Bowler,1
Jimmy Neesham,175,5,Bowler,1
Shivil Kaushik,150,5,Bowler,0
Jayant Yadav,154,5,Bowler,0
Harshit Rana,17,5,Bowler,0
Marco Jansen,225,5,Bowler,1
James Pattinson,271,5,Bowler,1
Dwaine Pretorius,142,5,Bowler,1
Samuel Badree,239,5,Bowler,1
Ramandeep Singh,146,5,Bowler,0
Iqbal Abdulla,196,5,Bowler,0
Odean Smith,152,5,Bowler,1
Dushmantha Chameera,225,5,Bowler,1
Obed McCoy,271,5,Bowler,1
Parveez Rasool,21,5,Bowler,0
Vinay Kumar,167,5,Bowler,0
Shadab Jakati,50,5,Bowler,0
Dale Steyn,117,5,Bowler,1
Pradeep Sahu,75,5,Bowler,0
Harry Gurney,175,5,Bowler,1
Kyle Abbott,42,5,Bowler,1
Hrithik Shokeen,50,5,Bowler,0
Albie Morkel,42,5,Bowler,1
Shahbaz Ahmed,352,5,Batsman,0
Jhye Richardson,67,5,Bowler,1
Liam Plunkett,96,5,Bowler,1
Ankit Soni,54,5,Bowler,0
Anureet Singh,17,5,Bowler,0
Bhanuka Rajapaksa,289,5,Batsman,0
Ashok Dinda,296,5,Bowler,0
Colin de Grandhomme,397,5,Batsman,1
Mitchell Marsh,350,5,Batsman,1
Sam Billings,669,5,Batsman,1
Lalit Yadav,282,5,Batsman,0
Maheesh Theekshana,314,5,Bowler,1
Kyle Jamieson,221,5,Bowler,1
George Garton,71,5,Bowler,1
Pravin Tambe,125,5,Bowler,0
Javon Searles,42,5,Bowler,1
Fabian Allen,46,5,Bowler,1
Sandeep Lamichhane,329,5,Bowler,1
Mitchell Santner,254,5,Bowler,1
Tushar Deshpande,92,5,Bowler,0
Nathan Ellis,100,5,Bowler,1
Munaf Patel,25,5,Bowler,0
Swapnil Singh,25,5,Bowler,0
Simarjeet Singh,104,5,Bowler,0
Prithvi Raj Yarra,17,5,Bowler,0
Kumar Kartikeya Singh,129,5,Bowler,0
Mitchell Johnson,275,5,Bowler,1
Vaibhav Arora,71,5,Bowler,0
David Willey,75,5,Bowler,1
Aniket Choudhary,125,5,Bowler,0
Hardus Viljoen,171,5,Bowler,1
Matthew Wade,213,5,Batsman,1
